Date,Price,Open,High,Low,Vol.,Change %
"Mar 12, 2020","5,237.48","5,876.52","5,876.52","5,237.48",2.21B,-10.87%
"Mar 11, 2020","5,876.52","5,960.23","6,088.50","5,860.75",1.51B,-1.40%
"Mar 10, 2020","5,960.23","5,965.77","6,231.06","5,927.85",1.73B,-0.09%
"Mar 09, 2020","5,965.77","6,462.55","6,462.55","5,891.56",2.10B,-7.69%
"Mar 06, 2020","6,462.55","6,705.43","6,705.43","6,431.44",1.38B,-3.62%
"Mar 05, 2020","6,705.43","6,815.59","6,834.12","6,662.61",1.15B,-1.62%
"Mar 04, 2020","6,815.59","6,718.20","6,856.27","6,700.23",1.12B,1.45%
"Mar 03, 2020","6,718.20","6,654.89","6,846.28","6,654.89",1.28B,0.95%
"Mar 02, 2020","6,654.89","6,580.61","6,775.18","6,496.01",1.76B,1.13%
"Feb 28, 2020","6,580.61","6,796.40","6,796.40","6,460.08",1.98B,-3.18%
"Feb 27, 2020","6,796.40","7,042.47","7,042.47","6,729.99",1.22B,-3.49%
"Feb 26, 2020","7,042.47","7,017.88","7,044.66","6,871.85",982.16M,0.35%
"Feb 25, 2020","7,017.88","7,156.83","7,198.23","7,004.94",976.46M,-1.94%
"Feb 24, 2020","7,156.83","7,403.92","7,403.92","7,114.45",1.08B,-3.34%
"Feb 21, 2020","7,403.92","7,436.64","7,436.70","7,370.63",872.32M,-0.44%
"Feb 20, 2020","7,436.64","7,457.02","7,480.49","7,436.64",779.37M,-0.27%
"Feb 19, 2020","7,457.02","7,382.01","7,462.01","7,382.01",602.97M,1.02%
"Feb 18, 2020","7,382.01","7,433.25","7,433.25","7,353.41",786.11M,-0.69%
"Feb 17, 2020","7,433.25","7,409.13","7,449.95","7,409.13",394.57M,0.33%
"Feb 14, 2020","7,409.13","7,452.03","7,472.85","7,403.69",629.85M,-0.58%
"Feb 13, 2020","7,452.03","7,534.37","7,534.37","7,406.94",820.27M,-1.09%
"Feb 12, 2020","7,534.37","7,499.44","7,547.65","7,499.01",573.04M,0.47%
"Feb 11, 2020","7,499.44","7,446.88","7,529.54","7,446.88",697.68M,0.71%
"Feb 10, 2020","7,446.88","7,466.70","7,466.70","7,427.85",597.28M,-0.27%
"Feb 07, 2020","7,466.70","7,504.79","7,506.26","7,441.14",705.97M,-0.51%
"Feb 06, 2020","7,504.79","7,482.48","7,533.57","7,482.48",673.95M,0.30%
"Feb 05, 2020","7,482.48","7,439.82","7,512.41","7,408.45",818.91M,0.57%
"Feb 04, 2020","7,439.82","7,326.31","7,442.08","7,326.31",696.70M,1.55%
"Feb 03, 2020","7,326.31","7,286.01","7,359.98","7,285.16",645.84M,0.55%
"Jan 31, 2020","7,286.01","7,381.96","7,398.34","7,275.03",714.04M,-1.30%
"Jan 30, 2020","7,381.96","7,483.57","7,483.57","7,357.62",684.60M,-1.36%
